pga,vulnerability,occupancy,smoke_detected,gas_detected,fire_detected,urgency_score,priority
0.0487,0.596,0,0,0,0,13,LOW
0.1242,0.1,36,0,0,0,31,MEDIUM
0.0323,0.175,41,0,0,0,22,LOW
0.0162,0.354,36,0,0,0,20,LOW
0.032,0.25,49,1,0,0,33,MEDIUM
0.0163,0.238,0,0,1,0,13,LOW
0.1462,0.217,310,0,0,0,43,MEDIUM
0.0273,0.181,0,0,0,0,7,LOW
0.0034,0.203,11,0,0,0,13,LOW
0.0079,0.366,0,0,0,0,5,LOW
0.0303,0.338,2,0,0,0,14,LOW
0.1454,0.121,0,0,1,0,26,LOW
0.0314,0.167,34,0,0,0,22,LOW
0.0096,0.176,19,0,0,0,12,LOW
0.0389,0.358,19,0,0,0,19,LOW
0.005,0.325,0,0,0,0,4,LOW
0.1643,0.362,0,0,0,0,20,LOW
0.1985,0.267,0,1,0,1,39,MEDIUM
0.0412,0.1,0,0,0,0,6,LOW
0.156,0.1,0,0,0,0,16,LOW
0.0051,0.392,15,0,0,0,15,LOW
0.0234,0.357,37,0,0,0,24,LOW
0.036,0.256,29,0,0,0,23,LOW
0.0246,0.1,21,0,0,0,21,LOW
0.0377,0.494,229,1,0,0,46,MEDIUM
0.0303,0.335,12,0,0,0,19,LOW
0.0353,0.572,26,0,0,0,28,LOW
0.5708,0.154,23,1,0,0,57,MEDIUM
0.1375,0.152,6,0,0,0,27,LOW
0.0376,0.1,0,0,0,0,6,LOW
0.0365,0.476,18,0,0,0,21,LOW
0.0213,0.2,10,0,0,0,17,LOW
0.0234,0.129,0,0,0,0,6,LOW
0.0097,0.55,39,1,1,0,43,MEDIUM
0.0436,0.596,199,0,0,0,38,MEDIUM
0.0472,0.399,43,0,0,0,25,LOW
0.0704,0.238,27,0,0,0,27,LOW
0.0093,0.152,20,0,0,0,12,LOW
0.0369,0.389,5,0,0,0,15,LOW
0.0492,0.323,3,0,0,0,14,LOW
0.064,0.1,34,0,0,0,25,LOW
0.0394,0.122,47,0,0,0,21,LOW
0.0542,0.358,46,0,0,0,29,LOW
0.0291,0.1,18,0,0,0,16,LOW
0.0744,0.317,0,0,0,0,13,LOW
0.0198,0.199,0,0,0,0,2,LOW
0.0236,0.169,8,0,0,0,17,LOW
0.0151,0.188,24,0,0,0,17,LOW
0.0485,0.251,8,0,0,0,18,LOW
0.0467,0.428,244,0,0,0,35,MEDIUM
0.1774,0.192,0,0,0,0,17,LOW
0.0164,0.786,35,1,0,0,36,MEDIUM
0.1825,0.344,3,0,1,0,35,MEDIUM
0.05,0.219,30,0,0,0,22,LOW
0.002,0.1,33,0,0,0,16,LOW
0.141,0.508,0,0,0,0,22,LOW
0.0356,0.642,0,1,0,0,24,LOW
0.0256,0.478,45,0,0,0,26,LOW
0.0374,0.156,0,0,0,0,6,LOW
0.0187,0.1,36,0,0,0,16,LOW
0.0004,0.597,0,1,0,0,18,LOW
0.1479,0.399,364,1,0,1,65,HIGH
0.034,0.1,36,0,0,0,21,LOW
0.0859,0.166,0,0,0,0,11,LOW
0.0623,0.395,0,0,0,0,14,LOW
0.1645,0.732,16,0,0,0,35,MEDIUM
0.0289,0.444,45,0,0,0,26,LOW
0.0232,0.179,0,0,0,0,7,LOW
0.026,0.622,91,0,0,0,33,MEDIUM
0.028,0.262,4,0,0,0,13,LOW
0.0135,0.467,0,0,0,0,7,LOW
0.0167,0.219,35,0,0,0,18,LOW
0.0167,0.234,29,0,1,0,28,LOW
0.0271,0.357,30,0,0,0,24,LOW
0.01,0.155,98,0,0,0,22,LOW
0.0391,0.193,4,0,0,0,12,LOW
0.0077,0.109,32,0,0,0,16,LOW
0.1311,0.1,6,0,0,0,26,LOW
0.0124,0.578,9,0,0,0,18,LOW
0.0137,0.1,47,0,0,0,16,LOW
0.0089,0.443,47,0,0,0,21,LOW
0.0256,0.264,0,0,0,0,8,LOW
0.0457,0.375,55,0,0,0,30,LOW
0.0218,0.382,0,0,0,0,10,LOW
0.0287,0.1,39,0,0,0,21,LOW
0.0134,0.108,47,0,1,0,26,LOW
0.026,0.255,230,0,0,0,33,MEDIUM
0.0024,0.198,236,0,0,0,27,LOW
0.0211,0.224,0,0,0,0,7,LOW
0.0456,0.171,45,0,0,0,22,LOW
0.007,0.125,0,0,0,0,1,LOW
0.0412,0.307,6,0,0,0,19,LOW
0.0429,0.141,227,0,0,0,31,MEDIUM
0.1911,0.1,0,0,0,0,16,LOW
0.023,0.1,14,0,0,0,16,LOW
0.0639,0.537,32,0,0,0,32,MEDIUM
0.0157,0.241,3,0,0,0,8,LOW
0.0194,0.504,8,0,0,0,17,LOW
0.3633,0.229,0,0,0,0,28,LOW
0.1978,0.698,40,1,0,0,50,MEDIUM
0.0462,0.264,22,0,0,0,23,LOW
0.0456,0.3,30,0,0,0,24,LOW
0.1387,0.416,0,0,0,0,21,LOW
0.0487,0.335,11,0,0,0,19,LOW
0.0185,0.287,45,0,0,0,19,LOW
0.0433,0.101,0,0,0,0,6,LOW
0.0285,0.398,316,0,0,0,35,MEDIUM
0.0136,0.407,19,0,0,0,16,LOW
0.0405,0.279,10,0,0,0,18,LOW
0.0197,0.15,10,0,0,0,12,LOW
0.023,0.226,21,0,0,0,22,LOW
0.1497,0.113,44,0,0,0,31,MEDIUM
0.004,0.208,47,0,0,0,18,LOW
0.0017,0.18,0,0,0,0,2,LOW
0.1495,0.186,47,0,0,0,32,MEDIUM
0.0249,0.274,0,0,0,0,8,LOW
0.0188,0.301,0,0,0,0,4,LOW
0.1581,0.196,42,0,0,0,32,MEDIUM
0.128,0.39,45,0,0,0,35,MEDIUM
0.1492,0.131,48,0,0,0,31,MEDIUM
0.0364,0.133,14,0,0,0,16,LOW
0.0012,0.1,72,0,0,0,21,LOW
0.0414,0.148,0,0,0,0,6,LOW
0.0309,0.275,3,0,0,0,13,LOW
0.006,0.1,28,0,0,0,16,LOW
0.0356,0.181,45,0,0,0,22,LOW
0.0306,0.121,27,0,0,0,21,LOW
0.0112,0.1,17,0,0,0,11,LOW
0.0164,0.391,44,0,0,0,20,LOW
0.0217,0.365,47,0,0,0,24,LOW
0.0526,0.105,0,0,0,0,10,LOW
0.0384,0.297,0,0,0,0,8,LOW
0.0289,0.205,32,0,0,0,22,LOW
0.0249,0.339,0,0,0,0,9,LOW
0.0405,0.363,0,0,0,0,9,LOW
0.1254,0.1,59,0,0,0,36,MEDIUM
0.1745,0.144,0,0,0,0,17,LOW
0.0413,0.1,0,0,0,0,6,LOW
0.0343,0.126,170,0,0,0,31,MEDIUM
0.1828,0.331,1,0,0,0,24,LOW
0.0455,0.171,46,0,0,0,22,LOW
0.007,0.254,5,0,0,0,8,LOW
0.0066,0.1,1,0,0,0,6,LOW
0.0089,0.42,0,0,0,0,6,LOW
0.0106,0.1,0,1,0,0,11,LOW
0.0104,0.1,28,0,0,0,16,LOW
0.0705,0.236,0,0,0,0,12,LOW
0.0385,0.539,0,0,0,0,12,LOW
0.0137,0.257,0,0,0,0,3,LOW
0.0284,0.225,0,0,0,0,7,LOW
0.0472,0.171,394,0,0,0,32,MEDIUM
0.1852,0.22,0,0,0,0,18,LOW
0.1054,0.608,25,0,0,0,39,MEDIUM
0.0218,0.179,0,0,0,0,7,LOW
0.0847,0.338,32,0,0,0,29,LOW
0.1388,0.276,0,0,0,0,19,LOW
0.0415,0.214,48,0,0,0,22,LOW
0.1645,0.203,0,0,0,0,18,LOW
0.0771,0.1,25,0,0,0,25,LOW
0.0086,0.279,454,0,0,0,29,LOW
0.0467,0.385,12,0,0,0,20,LOW
0.042,0.111,23,0,0,0,21,LOW
0.0178,0.323,51,0,0,0,24,LOW
0.0067,0.525,17,0,0,0,17,LOW
0.0397,0.178,0,0,0,0,7,LOW
0.1453,0.368,45,1,0,0,45,MEDIUM
0.0409,0.344,0,0,0,0,9,LOW
0.0095,0.397,0,0,0,0,5,LOW
0.0395,0.1,0,0,0,0,6,LOW
0.0327,0.432,0,0,0,0,10,LOW
0.0241,0.184,26,0,0,0,22,LOW
0.0029,0.388,0,0,0,0,5,LOW
0.0279,0.1,215,0,0,0,31,MEDIUM
0.2894,0.102,36,0,0,0,37,MEDIUM
0.1943,0.252,0,0,0,0,18,LOW
0.0383,0.218,49,0,0,0,22,LOW
0.0453,0.156,306,0,0,0,31,MEDIUM
0.1729,0.335,36,0,0,0,35,MEDIUM
0.0017,0.216,17,0,0,0,13,LOW
0.007,0.263,137,0,0,0,28,LOW
0.0092,0.202,13,1,0,1,33,MEDIUM
0.1734,0.18,1,0,0,0,22,LOW
0.0434,0.135,46,0,0,0,21,LOW
0.001,0.1,44,0,0,0,16,LOW
0.1691,0.319,0,0,0,0,19,LOW
0.0387,0.253,7,0,0,0,18,LOW
0.0241,0.207,0,0,0,0,7,LOW
0.0315,0.24,0,0,0,0,8,LOW
0.0025,0.191,49,0,0,0,17,LOW
0.1392,0.178,0,0,0,0,17,LOW
0.0045,0.542,302,0,0,0,33,MEDIUM
0.0398,0.21,0,0,0,0,7,LOW
0.1031,0.695,1,0,0,0,30,LOW
0.0198,0.135,0,0,0,0,2,LOW
0.0278,0.234,38,0,0,0,23,LOW
0.0966,0.278,0,0,0,0,13,LOW
0.0555,0.362,0,0,0,0,14,LOW
0.1618,0.297,0,1,0,1,39,MEDIUM
0.144,0.622,0,0,0,0,24,LOW
0.2707,0.187,0,0,0,0,23,LOW
0.138,0.334,41,0,0,0,35,MEDIUM
0.0972,0.12,117,0,0,0,35,MEDIUM
0.0321,0.31,0,0,0,0,9,LOW
0.0411,0.495,2,0,0,0,16,LOW
0.0068,0.204,9,0,0,0,13,LOW
0.0467,0.346,0,0,0,0,9,LOW
0.1412,0.406,9,0,0,0,31,MEDIUM
0.0174,0.108,45,0,0,0,16,LOW
0.0537,0.522,468,0,0,0,41,MEDIUM
0.1278,0.526,0,0,0,0,22,LOW
0.0278,0.109,0,0,0,0,6,LOW
0.4716,0.437,31,0,0,0,47,MEDIUM
0.0475,0.386,40,0,0,0,25,LOW
0.1048,0.141,0,0,0,0,17,LOW
0.0102,0.243,20,0,0,0,13,LOW
0.0231,0.1,0,1,0,0,16,LOW
0.1934,0.269,0,1,0,0,29,LOW
0.0129,0.148,0,0,0,0,2,LOW
0.0287,0.389,3,0,0,0,15,LOW
0.022,0.324,39,0,0,0,24,LOW
0.0268,0.33,461,0,0,0,34,MEDIUM
0.0033,0.26,27,0,0,0,18,LOW
0.0115,0.379,6,0,0,0,15,LOW
0.0449,0.49,29,0,0,0,26,LOW
0.1049,0.364,0,0,0,0,20,LOW
0.1053,0.206,0,0,0,0,18,LOW
0.0032,0.307,14,0,0,0,14,LOW
0.0035,0.343,43,0,0,0,20,LOW
0.4645,0.425,6,0,0,0,41,MEDIUM
0.011,0.149,0,0,0,0,2,LOW
0.1732,0.315,47,0,0,0,34,MEDIUM
0.0031,0.102,0,0,0,0,1,LOW
0.0403,0.586,33,0,0,0,28,LOW
0.0034,0.494,22,0,0,0,22,LOW
0.0232,0.314,29,0,0,0,24,LOW
0.1484,0.1,4,0,0,0,21,LOW
0.0074,0.667,16,0,0,0,20,LOW
0.0815,0.1,10,0,0,0,20,LOW
0.13,0.43,0,0,0,0,21,LOW
0.0018,0.436,22,0,0,0,21,LOW
0.0991,0.807,17,0,0,0,31,MEDIUM
0.0161,0.569,32,0,0,0,23,LOW
0.123,0.214,0,0,0,0,18,LOW
0.1713,0.198,4,0,0,0,22,LOW
0.0401,0.455,24,0,0,0,26,LOW
0.0362,0.119,0,0,0,0,6,LOW
0.0487,0.164,0,0,0,0,6,LOW
0.0332,0.18,45,0,0,0,22,LOW
0.0458,0.1,21,0,0,0,21,LOW
0.1937,0.216,7,0,0,0,28,LOW
0.0366,0.299,22,0,0,0,23,LOW
0.0457,0.291,0,0,0,0,8,LOW
0.0367,0.1,17,0,0,0,16,LOW
0.0453,0.374,46,0,0,0,25,LOW
0.0177,0.144,47,0,0,0,17,LOW
0.0087,0.297,253,1,0,1,49,MEDIUM
0.0891,0.129,0,0,0,0,10,LOW
0.1192,0.129,9,1,0,1,46,MEDIUM
0.1981,0.452,2,0,0,0,26,LOW
0.0272,0.264,9,0,0,0,18,LOW
0.0413,0.391,0,1,0,0,20,LOW
0.0045,0.1,26,0,0,0,16,LOW
0.1598,0.192,40,1,0,0,42,MEDIUM
0.0135,0.619,34,1,0,1,44,MEDIUM
0.0398,0.216,38,1,0,0,32,MEDIUM
0.1818,0.325,4,0,0,0,24,LOW
0.0208,0.378,9,0,0,0,20,LOW
0.1948,0.433,22,0,0,0,36,MEDIUM
0.0146,0.577,35,0,0,0,23,LOW
0.0408,0.253,0,1,0,1,28,LOW
0.0355,0.1,10,0,0,0,16,LOW
0.0413,0.622,0,0,0,0,13,LOW
0.0473,0.221,0,0,0,0,7,LOW
0.0293,0.289,28,0,0,0,23,LOW
0.0094,0.544,0,0,0,0,8,LOW
0.0492,0.1,414,0,1,0,41,MEDIUM
0.0293,0.281,12,0,0,0,18,LOW
0.1832,0.105,28,0,0,0,31,MEDIUM
0.0063,0.381,46,0,0,0,20,LOW
0.0176,0.279,0,0,0,0,4,LOW
0.0496,0.531,105,0,0,0,37,MEDIUM
0.0202,0.175,43,0,0,0,22,LOW
0.0288,0.516,406,0,0,0,37,MEDIUM
0.0297,0.1,46,0,0,0,21,LOW
0.0455,0.578,16,0,0,0,23,LOW
0.1821,0.178,0,0,0,0,17,LOW
0.044,0.318,1,0,0,0,14,LOW
0.0257,0.75,494,1,0,0,50,MEDIUM
0.0491,0.387,0,0,0,0,10,LOW
0.1826,0.109,0,1,0,0,26,LOW
0.01,0.107,0,0,0,0,1,LOW
0.1413,0.404,0,0,0,0,21,LOW
0.5944,0.19,47,1,0,0,57,MEDIUM
0.1594,0.237,0,0,0,0,18,LOW
0.0171,0.319,0,1,0,0,14,LOW
0.0334,0.278,44,0,0,0,23,LOW
0.0043,0.425,0,1,0,0,16,LOW
0.0823,0.1,38,0,0,0,25,LOW
0.1715,0.1,242,1,0,0,51,MEDIUM
0.0427,0.469,32,0,0,0,26,LOW
0.0335,0.172,30,0,0,0,22,LOW
0.0031,0.302,0,0,0,0,4,LOW
0.0082,0.1,0,0,0,0,1,LOW
0.0405,0.121,0,0,0,0,6,LOW
0.0015,0.244,45,0,0,0,18,LOW
0.0256,0.112,0,0,0,0,6,LOW
0.0194,0.212,2,0,0,0,8,LOW
0.1467,0.323,126,0,0,0,44,MEDIUM
0.0379,0.11,30,0,0,0,21,LOW
0.0073,0.168,29,0,0,0,17,LOW
0.0045,0.485,47,0,0,0,22,LOW
0.0468,0.668,0,1,0,1,34,MEDIUM
0.1033,0.265,494,0,0,0,43,MEDIUM
0.0124,0.11,399,0,0,0,26,LOW
0.1054,0.15,44,0,0,0,32,MEDIUM
0.5203,0.259,39,0,1,0,58,MEDIUM
0.0668,0.199,17,0,0,0,21,LOW
0.005,0.1,4,0,0,0,6,LOW
0.033,0.1,34,0,0,0,21,LOW
0.1182,0.456,39,0,0,0,36,MEDIUM
0.0288,0.1,15,1,0,0,26,LOW
0.0052,0.295,0,0,0,0,4,LOW
0.0484,0.532,3,0,0,0,17,LOW
0.0377,0.223,5,0,0,0,12,LOW
0.5791,0.296,0,0,0,0,34,MEDIUM
0.5764,0.282,39,0,0,0,49,MEDIUM
0.1203,0.557,0,0,0,0,23,LOW
0.0347,0.332,241,0,0,0,34,MEDIUM
0.0325,0.333,0,1,0,0,19,LOW
0.1456,0.1,44,0,0,0,31,MEDIUM
0.0132,0.146,14,0,0,0,12,LOW
0.0294,0.1,0,0,0,0,6,LOW
0.0143,0.259,43,0,0,0,18,LOW
0.0004,0.198,38,0,0,0,17,LOW
0.2423,0.246,386,0,0,0,49,MEDIUM
0.0545,0.378,21,0,0,0,29,LOW
0.014,0.152,32,0,0,0,17,LOW
0.0133,0.269,120,0,0,0,29,LOW
0.0427,0.265,327,0,0,0,33,MEDIUM
0.0549,0.458,0,0,0,0,15,LOW
0.034,0.158,45,0,0,0,21,LOW
0.1157,0.486,0,0,0,0,22,LOW
0.0052,0.379,1,0,0,0,10,LOW
0.0438,0.213,15,0,0,0,17,LOW
0.1093,0.347,399,0,0,0,45,MEDIUM
0.0403,0.252,38,0,0,0,23,LOW
0.1352,0.224,53,0,0,0,38,MEDIUM
0.0362,0.524,33,0,0,0,27,LOW
0.0672,0.196,17,0,0,0,21,LOW
0.0102,0.707,42,1,0,0,35,MEDIUM
0.1597,0.265,2,0,0,0,23,LOW
0.1662,0.337,0,0,1,0,30,LOW
0.0498,0.125,166,0,0,0,31,MEDIUM
0.0635,0.106,0,0,0,0,10,LOW
0.0859,0.553,15,0,0,0,27,LOW
0.1914,0.157,44,0,0,0,32,MEDIUM
0.0249,0.37,21,0,0,0,25,LOW
0.0369,0.293,0,0,0,0,8,LOW
0.0231,0.428,16,0,0,0,20,LOW
0.053,0.1,0,0,0,0,10,LOW
0.1939,0.441,0,1,0,1,41,MEDIUM
0.0242,0.316,0,0,0,0,9,LOW
0.0381,0.203,0,0,0,0,7,LOW
0.0414,0.357,2,0,0,0,14,LOW
0.0465,0.1,6,0,0,0,16,LOW
0.1968,0.318,49,0,0,0,34,MEDIUM
0.0255,0.186,42,0,0,0,22,LOW
0.1381,0.1,47,0,0,0,31,MEDIUM
0.1116,0.246,28,0,0,0,33,MEDIUM
0.0353,0.11,19,0,0,0,16,LOW
0.0364,0.413,11,0,0,0,20,LOW
0.0026,0.279,0,1,0,1,24,LOW
0.0392,0.227,0,0,0,0,7,LOW
0.0233,0.125,35,0,0,0,21,LOW
0.1186,0.316,47,0,0,0,34,MEDIUM
0.0432,0.339,0,0,0,0,9,LOW
0.0298,0.239,12,0,0,0,18,LOW
0.0105,0.364,24,0,0,0,20,LOW
0.1527,0.215,0,0,0,0,18,LOW
0.0315,0.48,0,0,0,0,11,LOW
0.0196,0.357,0,0,0,0,5,LOW
0.0012,0.1,0,0,0,0,1,LOW
0.0164,0.354,3,0,0,0,10,LOW
0.0122,0.415,49,0,0,0,21,LOW
0.0234,0.471,0,0,0,0,11,LOW
0.0291,0.315,0,1,0,1,29,LOW
0.0083,0.255,44,0,0,0,18,LOW
0.0747,0.593,23,0,0,0,32,MEDIUM
0.0409,0.624,27,0,0,0,28,LOW
0.0226,0.379,25,0,0,0,25,LOW
0.0147,0.1,0,0,0,0,1,LOW
0.3069,0.412,37,0,0,0,42,MEDIUM
0.0161,0.13,284,0,0,0,26,LOW
0.0124,0.1,127,0,0,0,26,LOW
0.0256,0.175,63,0,0,0,27,LOW
0.0052,0.298,81,0,0,0,24,LOW
0.1655,0.333,0,1,0,1,39,MEDIUM
0.0304,0.248,11,0,0,0,18,LOW
0.043,0.138,32,0,0,0,21,LOW
0.0084,0.596,28,0,0,0,23,LOW
0.0449,0.495,25,0,0,0,26,LOW
0.0201,0.147,34,0,0,0,21,LOW
0.0311,0.1,47,0,0,0,21,LOW
0.0456,0.1,17,0,0,0,16,LOW
0.0067,0.122,8,0,0,0,11,LOW
0.0104,0.11,0,0,0,0,1,LOW
0.0318,0.1,12,0,0,0,16,LOW
0.1994,0.261,31,0,0,0,33,MEDIUM
0.124,0.148,0,1,0,0,27,LOW
0.1642,0.429,41,1,0,0,46,MEDIUM
0.0328,0.241,0,0,0,0,8,LOW
0.0167,0.235,27,0,0,0,18,LOW
0.0066,0.617,41,0,1,0,34,MEDIUM
0.029,0.101,0,0,0,0,6,LOW
0.1784,0.546,42,0,0,0,38,MEDIUM
0.1988,0.1,17,0,0,0,26,LOW
0.0226,0.227,382,0,0,0,32,MEDIUM
0.0221,0.251,3,0,0,0,13,LOW
0.1767,0.123,495,0,0,0,41,MEDIUM
0.1632,0.616,44,0,0,0,39,MEDIUM
0.0206,0.126,48,0,0,0,21,LOW
0.0196,0.209,184,0,0,0,28,LOW
0.0262,0.403,0,0,0,0,10,LOW
0.1921,0.258,0,0,0,0,18,LOW
0.0016,0.553,0,0,0,0,8,LOW
0.1546,0.136,37,0,0,0,32,MEDIUM
0.0173,0.337,0,0,0,0,5,LOW
0.3709,0.194,369,0,0,0,53,MEDIUM
0.0145,0.467,51,0,0,0,27,LOW
0.0119,0.29,0,0,0,0,4,LOW
0.003,0.319,41,0,0,0,19,LOW
0.0424,0.378,0,0,0,0,10,LOW
0.0375,0.387,16,0,0,0,20,LOW
0.0023,0.328,38,0,0,0,19,LOW
0.117,0.189,0,0,0,0,17,LOW
0.0284,0.437,4,0,0,0,16,LOW
0.0015,0.106,42,1,0,1,36,MEDIUM
0.0265,0.525,38,0,0,0,27,LOW
0.0898,0.574,26,1,0,0,42,MEDIUM
0.0156,0.193,0,0,0,0,2,LOW
0.0769,0.597,400,0,0,0,42,MEDIUM
0.039,0.115,0,0,0,0,6,LOW
0.1372,0.193,10,0,0,0,27,LOW
0.0138,0.1,19,0,0,0,11,LOW
0.0305,0.257,0,0,0,0,8,LOW
0.1679,0.578,205,1,0,0,58,MEDIUM
0.1879,0.164,48,0,0,0,32,MEDIUM
0.0026,0.242,5,0,0,0,8,LOW
0.0166,0.234,420,0,0,0,28,LOW
0.0763,0.228,0,0,0,0,12,LOW
0.0136,0.269,23,0,0,0,19,LOW
0.0889,0.342,48,0,0,0,29,LOW
0.1967,0.182,20,0,0,0,27,LOW
0.0321,0.171,33,0,0,0,22,LOW
0.0271,0.428,389,0,0,0,35,MEDIUM
0.0063,0.187,0,0,0,0,2,LOW
0.0482,0.586,352,1,0,1,58,MEDIUM
0.0229,0.218,0,0,0,0,7,LOW
0.1107,0.539,9,0,0,0,33,MEDIUM
0.0498,0.493,0,0,0,0,11,LOW
0.1298,0.1,9,0,0,0,26,LOW
0.015,0.128,37,0,0,0,16,LOW
0.0003,0.312,13,1,0,1,34,MEDIUM
0.4691,0.221,9,0,0,0,38,MEDIUM
0.0795,0.295,37,0,0,0,28,LOW
0.1494,0.298,36,0,0,0,34,MEDIUM
0.0477,0.177,18,0,0,0,17,LOW
0.0283,0.335,18,0,0,0,19,LOW
0.025,0.448,0,0,0,0,11,LOW
0.1965,0.644,5,0,0,0,29,LOW
0.0031,0.156,49,0,0,0,17,LOW
0.0935,0.108,0,0,0,0,10,LOW
0.0406,0.117,0,0,0,0,6,LOW
0.1105,0.137,5,0,0,0,22,LOW
0.0175,0.453,33,0,0,0,21,LOW
0.02,0.151,12,1,0,0,26,LOW
0.038,0.186,24,0,0,0,22,LOW
0.0326,0.296,0,0,0,0,8,LOW
0.1785,0.246,446,0,0,0,43,MEDIUM
0.029,0.415,0,0,0,0,10,LOW
0.0424,0.49,27,0,1,0,36,MEDIUM
0.5232,0.37,29,1,0,1,70,HIGH
0.0684,0.321,362,0,0,0,38,MEDIUM
0.0408,0.312,0,0,0,0,9,LOW
0.0024,0.242,32,0,0,0,18,LOW
0.1822,0.513,19,0,1,0,42,MEDIUM
0.1032,0.363,21,0,0,0,35,MEDIUM
0.0047,0.193,23,0,0,0,17,LOW
0.1671,0.172,0,0,0,0,17,LOW
0.0116,0.137,4,0,0,0,7,LOW
0.1476,0.158,1,0,0,0,22,LOW
0.198,0.1,24,0,0,0,31,MEDIUM
0.0786,0.354,34,1,0,0,39,MEDIUM
0.0442,0.148,0,0,0,0,6,LOW
0.0972,0.129,0,0,0,0,10,LOW
0.0339,0.203,0,0,0,0,7,LOW
0.04,0.287,73,0,0,0,28,LOW
0.1302,0.265,0,1,0,0,28,LOW
0.0246,0.277,421,1,0,1,53,MEDIUM
0.1577,0.383,17,0,1,0,40,MEDIUM
0.0404,0.214,0,1,0,0,17,LOW
0.0396,0.278,470,0,0,0,33,MEDIUM
0.0435,0.534,412,0,0,0,37,MEDIUM
0.1591,0.147,15,0,0,0,27,LOW
0.0101,0.369,19,0,0,0,15,LOW
0.1916,0.15,197,0,0,0,42,MEDIUM
0.0242,0.18,0,0,0,0,7,LOW
0.0355,0.542,8,0,0,0,22,LOW
0.0676,0.1,0,0,0,0,10,LOW
0.0389,0.604,38,0,0,0,28,LOW
0.1555,0.306,294,0,0,0,44,MEDIUM
0.0375,0.563,40,0,0,0,27,LOW
0.038,0.542,0,0,0,0,12,LOW
0.0688,0.451,0,0,0,0,15,LOW
0.0021,0.281,7,0,0,0,14,LOW
0.0125,0.262,0,0,0,0,3,LOW
0.0336,0.422,11,0,0,0,20,LOW
0.018,0.152,0,0,0,0,2,LOW
0.1665,0.143,348,0,0,0,42,MEDIUM
0.0211,0.119,19,0,0,0,16,LOW
0.1542,0.367,34,0,0,0,35,MEDIUM
0.0326,0.422,19,0,0,0,20,LOW
